route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
134841,ALLGO,322,Lijn 322 (R-net) Almere Parkwijk - A'dam Amstel,,3,e00713,ffffff,
134842,ALLGO,326,Lijn 326 (R-net) Almere Stad - Blaricum P+R,,3,e00713,ffffff,
134843,ALLGO,327,Lijn 327 (R-net) Almere Haven - Amsterdam Amstel,,3,e00713,ffffff,
134844,ALLGO,330,Lijn 330 (R-net) Almere Buiten - A'dam Bijlmer,,3,e00713,ffffff,
134845,ALLGO,N22,Lijn N22 (NightGo) A'dam Leidsepl.- Almere Buiten,,3,f59c00,000000,
134846,ALLGO,N23,Lijn N23 (NightGo) A'dam Centraal - Almere Centrum,,3,e00713,ffffff,
134847,ALLGO,M1,Lijn M1 (Havenmetro) Stat. Centrum - Haven Centrum,,3,0067a7,ffffff,
134848,ALLGO,M2,Lijn M2 (Buitenmetro) Stat. Centrum - Striphelden,,3,0ba13b,ffffff,
134849,ALLGO,M3,Lijn M3 (Muziekmetro) Stat. Centrum - Muziekwijk,,3,e00713,ffffff,
134850,ALLGO,M4,Lijn M4 (Poortmetro) Stat. Centrum - Stat. Poort,,3,fdc300,000000,
134851,ALLGO,M5,Lijn M5 (Dansmetro) Stat. Centrum  - Parkwijk,,3,f59c00,000000,
134852,ALLGO,M6,Lijn M6 (Noorderplassenmetro) Stat. Cen. - Nrdpl.,,3,007a86,ffffff,
134853,ALLGO,M7,Lijn M7 (Parkmetro) Stat. Centrum - Oostvaarders,,3,912e7b,ffffff,
134854,ALLGO,M8,Lijn M8 (Nobelhorstmetro) Stat. Centr - Nobelhorst,,3,cdd500,000000,
134855,ALLGO,22,Lijn 22 (FlexiGo) Station Buiten - De Vaart,,3,858c96,ffffff,
134856,ALLGO,24,Lijn 24 (DuinGo) Station Poort - Duin,,3,858c96,ffffff,
134858,ALLGO,28,Lijn 28 Buurtbus Oosterwold,,3,858c96,000000,
140855,ALLGO,28,Lijn 28 Buurtbus Almere Hout,,3,858c96,000000,
141883,ALLGO,329,Lijn 329 (R-net) Almere Haven - Amsterdam Amstel,,3,e00713,ffffff,
128053,ARR,146,Culemborg - Vianen,,3,00becd,000000,
128057,ARR,244,Tiel - Zoelen,,3,98c818,000000,
128058,ARR,245,Tiel Station - Tiel Oost,,3,98c818,000000,
128064,ARR,265,Beneden-Leeuwen - Dreumel,,3,98c818,000000,
134411,ARR,C11,Bocholt - Aalten,,3,808080,000000,
134417,ARR,40,Dinxperlo via Terborg - Doetinchem,,3,00becd,000000,
134426,ARR,82,Zutphen - Doetinchem,,3,00becd,000000,
134429,ARR,174,Varsseveld - Westendorp,,3,98c818,000000,
134439,ARR,450,Zutphen via Laren - Zutphen,,3,00becd,000000,
